               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.021742,             0.03092,            0.011891,             0.83065,             0.84536,             0.87195,               0.383,            0.019636,           0.0042412,             0.00287,           0.0017781,           0.0017781,           0.0017781
                  83,            0.021598,            0.031994,            0.011839,             0.85763,             0.92685,             0.93211,             0.43685,            0.017783,           0.0041158,           0.0032636,           0.0017005,           0.0017005,           0.0017005
                  84,            0.021318,            0.030515,            0.011512,             0.91531,             0.95014,             0.94459,             0.43356,            0.018145,            0.004304,           0.0012813,           0.0016267,           0.0016267,           0.0016267
                  85,             0.02151,            0.031198,            0.010856,             0.93752,             0.92239,             0.94272,             0.44281,            0.017763,           0.0042338,           0.0012299,           0.0015566,           0.0015566,           0.0015566
                  86,            0.020904,            0.030618,            0.011257,             0.90619,             0.93438,             0.93444,             0.44083,            0.017647,           0.0042265,           0.0018347,           0.0014905,           0.0014905,           0.0014905
                  87,            0.020673,            0.030182,            0.010891,             0.92747,             0.92246,              0.9484,             0.42985,            0.018229,           0.0042873,          0.00084489,           0.0014283,           0.0014283,           0.0014283
                  88,             0.02098,            0.030708,            0.010872,             0.94335,             0.93362,             0.96552,             0.43349,            0.018552,           0.0042805,          0.00093964,           0.0013701,           0.0013701,           0.0013701
                  89,            0.020879,            0.029484,            0.011436,             0.89391,             0.94553,             0.94693,             0.43606,            0.018177,           0.0041487,           0.0013521,            0.001316,            0.001316,            0.001316
                  90,            0.020912,            0.029848,             0.01146,             0.92958,             0.94585,             0.95765,             0.45908,             0.01724,           0.0041482,           0.0013366,            0.001266,            0.001266,            0.001266
                  91,            0.020921,            0.030234,            0.011005,             0.93701,             0.94098,             0.95895,             0.44789,            0.018179,           0.0041316,            0.001265,           0.0012202,           0.0012202,           0.0012202
                  92,            0.020711,            0.030284,            0.010826,             0.89127,             0.92661,             0.94541,              0.4193,            0.018858,           0.0040682,           0.0016791,           0.0011787,           0.0011787,           0.0011787
                  93,             0.02091,            0.030291,            0.010861,             0.92783,             0.92195,             0.95361,             0.43644,            0.018177,            0.004231,           0.0015831,           0.0011414,           0.0011414,           0.0011414
                  94,            0.020795,            0.029814,             0.01126,             0.93768,             0.90999,             0.94753,             0.44941,            0.017664,           0.0042057,           0.0016682,           0.0011084,           0.0011084,           0.0011084
                  95,            0.020882,            0.029572,           0.0099038,             0.91494,             0.92919,             0.94921,             0.46532,            0.017488,           0.0041456,           0.0020118,           0.0010797,           0.0010797,           0.0010797
                  96,             0.02049,             0.03007,            0.010614,             0.94466,             0.87663,             0.94476,             0.45484,            0.017497,           0.0041288,           0.0026847,           0.0010554,           0.0010554,           0.0010554
                  97,            0.020718,            0.030093,           0.0099586,             0.92122,             0.94671,             0.95637,             0.46649,            0.017701,           0.0041051,           0.0013732,           0.0010355,           0.0010355,           0.0010355
                  98,            0.019897,            0.029539,            0.010197,             0.94021,             0.93056,             0.95348,             0.43885,             0.01826,           0.0042276,           0.0012678,             0.00102,             0.00102,             0.00102
                  99,            0.020288,            0.029659,            0.010658,             0.89437,             0.90636,             0.91503,             0.41746,             0.01871,           0.0041159,           0.0014776,           0.0010089,           0.0010089,           0.0010089
